company_id,name,sector,region,founded_year,employee_size,revenue_usd_millions,profit_margin_pct,digital_bank_license,status,ceo,funding_rounds,total_funding_usd_millions,user_count_millions
1,NovaPay,Digital Payments,Southeast Asia,2018,450,128.5,12.3,No,Live,Sarah Chen,3,85.0,4.2
2,ZenithBank Digital,Virtual Banking,Hong Kong,2019,320,95.2,8.7,Yes,Live,James Wong,2,120.0,1.8
3,FinLeap Asia,Lending Platform,Singapore,2017,680,210.4,15.1,No,Live,Raj Patel,4,200.0,6.5
4,CloudCredit,Credit Scoring,India,2016,1200,340.8,18.9,No,Live,Priya Sharma,5,310.0,12.0
5,PayWave Technologies,Mobile Wallet,Indonesia,2019,280,67.3,5.2,No,Live,Budi Santoso,2,45.0,8.9
6,TrustBridge Capital,Wealth Management,Singapore,2015,150,420.6,22.4,No,Live,Michael Tan,3,60.0,0.3
7,HarborBank,Virtual Banking,Hong Kong,2020,200,42.1,−3.5,Yes,Live,Emily Lau,2,180.0,0.9
8,QuickSettle,Cross-border Payments,Japan,2018,390,156.7,11.8,No,Live,Yuki Tanaka,3,95.0,2.1
9,GreenFin,ESG Analytics,South Korea,2021,95,18.4,−8.2,No,Beta,Joon Park,1,12.0,0.1
10,MegaLend,P2P Lending,China,2014,2500,890.3,20.1,No,Live,Wei Zhang,6,450.0,25.0
11,InsureBot,InsurTech,Thailand,2020,180,31.6,2.4,No,Live,Anong Chai,2,28.0,1.5
12,DataVault Finance,RegTech,Australia,2017,310,78.9,14.6,No,Live,Oliver Scott,3,55.0,0.4
13,NeoBank PH,Virtual Banking,Philippines,2021,140,22.5,−12.1,Yes,Live,Maria Santos,2,90.0,2.3
14,BlockSettle,Blockchain Payments,Singapore,2019,220,53.8,7.9,No,Live,Alex Koh,3,110.0,0.8
15,AsiaPay Connect,Payment Gateway,Malaysia,2016,560,185.2,16.3,No,Live,Ahmad Ibrahim,4,130.0,5.7
16,RoboWealth,Robo-Advisory,Taiwan,2018,170,44.7,9.1,No,Live,Chia-Wei Lin,2,35.0,0.6
17,LendSmart AI,AI Lending,Vietnam,2020,240,38.9,1.3,No,Live,Minh Nguyen,2,42.0,3.2
18,PacificPay,B2B Payments,New Zealand,2015,130,92.4,19.5,No,Live,Daniel Murphy,3,40.0,0.2
19,FinGuard,Compliance Tech,Hong Kong,2019,280,61.3,10.8,No,Live,Karen Cheung,2,50.0,0.3
20,CashFlow360,SME Banking,India,2017,850,215.6,13.7,Yes,Live,Vikram Mehta,4,175.0,7.8
21,SwiftRemit,Remittance,Philippines,2018,190,29.4,4.6,No,Live,Jose Reyes,2,22.0,4.5
22,Krypton Finance,DeFi Platform,Singapore,2021,110,15.2,−18.4,No,Beta,Lena Ng,1,65.0,0.05
23,TradeMinds,Trading Platform,Japan,2016,420,278.5,17.2,No,Live,Hiroshi Yamamoto,3,88.0,1.2
24,SecureID Asia,Identity Verification,South Korea,2019,300,72.1,11.5,No,Live,Soo-Jin Kim,3,58.0,1.8
25,OpenLedger,Open Banking,Australia,2020,160,34.8,3.9,No,Live,Sophie Baker,2,48.0,0.7
